Zipcode,City,State,Available,ZipType
90040,LOS ANGELES,CA,STANDARD,1
90059,LOS ANGELES,CA,STANDARD,1
90501,TORRANCE,CA,STANDARD,1
90502,TORRANCE,CA,STANDARD,1
90503,TORRANCE,CA,STANDARD,1
90504,TORRANCE,CA,STANDARD,1
90505,TORRANCE,CA,STANDARD,1
90506,TORRANCE,CA,STANDARD,1
90507,TORRANCE,CA,STANDARD,1
90508,TORRANCE,CA,STANDARD,1
90509,TORRANCE,CA,STANDARD,1
90510,TORRANCE,CA,STANDARD,1
90723,PARAMOUNT,CA,STANDARD,1
90731,SAN PEDRO,CA,STANDARD,1
90732,SAN PEDRO,CA,STANDARD,1
90733,SAN PEDRO,CA,STANDARD,1
90734,SAN PEDRO,CA,STANDARD,1
90744,WILMINGTON,CA,STANDARD,1
90745,CARSON,CA,STANDARD,1
90746,CARSON,CA,STANDARD,1
90747,CARSON,CA,UNIQUE,1
90748,WILMINGTON,CA,STANDARD,1
90749,CARSON,CA,STANDARD,1
91001,ALTADENA,CA,STANDARD,1
91003,ALTADENA,CA,STANDARD,1
91006,ARCADIA,CA,STANDARD,1
91007,ARCADIA,CA,STANDARD,1
91009,DUARTE,CA,STANDARD,1
91010,DUARTE,CA,STANDARD,1
91011,LA CANADA FLINTRIDGE,CA,STANDARD,1
91012,LA CANADA FLINTRIDGE,CA,STANDARD,1
91016,MONROVIA,CA,STANDARD,1
91017,MONROVIA,CA,STANDARD,1
91024,SIERRA MADRE,CA,STANDARD,1
91025,SIERRA MADRE,CA,STANDARD,1
91030,SOUTH PASADENA,CA,STANDARD,1
91031,SOUTH PASADENA,CA,STANDARD,1
91066,ARCADIA,CA,STANDARD,1
91077,ARCADIA,CA,STANDARD,1
91101,PASADENA,CA,STANDARD,1
91102,PASADENA,CA,STANDARD,1
91103,PASADENA,CA,STANDARD,1
91104,PASADENA,CA,STANDARD,1
91105,PASADENA,CA,STANDARD,1
91106,PASADENA,CA,STANDARD,1
91107,PASADENA,CA,STANDARD,1
91108,SAN MARINO,CA,STANDARD,1
91109,PASADENA,CA,STANDARD,1
91110,PASADENA,CA,UNIQUE,1
91114,PASADENA,CA,STANDARD,1
91115,PASADENA,CA,STANDARD,1
91116,PASADENA,CA,STANDARD,1
91117,PASADENA,CA,STANDARD,1
91118,SAN MARINO,CA,STANDARD,1
91121,PASADENA,CA,UNIQUE,1
91123,PASADENA,CA,UNIQUE,1
91124,PASADENA,CA,UNIQUE,1
91125,PASADENA,CA,UNIQUE,1
91126,PASADENA,CA,UNIQUE,1
91129,PASADENA,CA,UNIQUE,1
91131,PASADENA,CA,UNIQUE,1
91175,PASADENA,CA,UNIQUE,1
91182,PASADENA,CA,UNIQUE,1
91184,PASADENA,CA,UNIQUE,1
91185,PASADENA,CA,UNIQUE,1
91186,PASADENA,CA,UNIQUE,1
91187,PASADENA,CA,UNIQUE,1
91188,PASADENA,CA,UNIQUE,1
91189,PASADENA,CA,UNIQUE,1
91191,PASADENA,CA,UNIQUE,1
91770,ROSEMEAD,CA,STANDARD,1
91771,ROSEMEAD,CA,UNIQUE,1
91772,ROSEMEAD,CA,UNIQUE,1
91773,SAN DIMAS,CA,STANDARD,1
91775,SAN GABRIEL,CA,STANDARD,1
91776,SAN GABRIEL,CA,STANDARD,1
91778,SAN GABRIEL,CA,STANDARD,1
91780,TEMPLE CITY,CA,STANDARD,1
91801,ALHAMBRA,CA,STANDARD,1
91802,ALHAMBRA,CA,STANDARD,1
91803,ALHAMBRA,CA,STANDARD,1
91804,ALHAMBRA,CA,STANDARD,1
91841,ALHAMBRA,CA,UNIQUE,1
91896,ALHAMBRA,CA,STANDARD,1
91899,ALHAMBRA,CA,STANDARD,1
92551,MORENO VALLEY,CA,STANDARD,1
92552,MORENO VALLEY,CA,STANDARD,1
92553,MORENO VALLEY,CA,STANDARD,1
92554,MORENO VALLEY,CA,STANDARD,1
92555,MORENO VALLEY,CA,STANDARD,1
92556,MORENO VALLEY,CA,STANDARD,1
92557,MORENO VALLEY,CA,STANDARD,1
92581,SAN JACINTO,CA,STANDARD,1
92582,SAN JACINTO,CA,STANDARD,1
92583,SAN JACINTO,CA,STANDARD,1
92584,MENIFEE,CA,STANDARD,1
92585,SUN CITY,CA,STANDARD,1
92586,SUN CITY,CA,STANDARD,1
92587,SUN CITY,CA,STANDARD,1
92589,TEMECULA,CA,STANDARD,1
92590,TEMECULA,CA,STANDARD,1
92591,TEMECULA,CA,STANDARD,1
92592,TEMECULA,CA,STANDARD,1
92593,TEMECULA,CA,STANDARD,1
90003,LOS ANGELES,CA,STANDARD,2
90004,LOS ANGELES,CA,STANDARD,2
90005,LOS ANGELES,CA,STANDARD,2
90006,LOS ANGELES,CA,STANDARD,2
90007,LOS ANGELES,CA,STANDARD,2
90009,LOS ANGELES,CA,STANDARD,2
90010,LOS ANGELES,CA,STANDARD,2
90011,LOS ANGELES,CA,STANDARD,2
90012,LOS ANGELES,CA,STANDARD,2
90013,LOS ANGELES,CA,STANDARD,2
90014,LOS ANGELES,CA,STANDARD,2
90015,LOS ANGELES,CA,STANDARD,2
90016,LOS ANGELES,CA,STANDARD,2
90017,LOS ANGELES,CA,STANDARD,2
90018,LOS ANGELES,CA,STANDARD,2
90019,LOS ANGELES,CA,STANDARD,2
90020,LOS ANGELES,CA,STANDARD,2
90021,LOS ANGELES,CA,STANDARD,2
90022,LOS ANGELES,CA,STANDARD,2
90023,LOS ANGELES,CA,STANDARD,2
90024,LOS ANGELES,CA,STANDARD,2
90025,LOS ANGELES,CA,STANDARD,2
90026,LOS ANGELES,CA,STANDARD,2
90027,LOS ANGELES,CA,STANDARD,2
90028,LOS ANGELES,CA,STANDARD,2
90029,LOS ANGELES,CA,STANDARD,2
90030,LOS ANGELES,CA,STANDARD,2
90031,LOS ANGELES,CA,STANDARD,2
90032,LOS ANGELES,CA,STANDARD,2
90033,LOS ANGELES,CA,STANDARD,2
90034,LOS ANGELES,CA,STANDARD,2
90035,LOS ANGELES,CA,STANDARD,2
90036,LOS ANGELES,CA,STANDARD,2
90037,LOS ANGELES,CA,STANDARD,2
90038,LOS ANGELES,CA,STANDARD,2
90039,LOS ANGELES,CA,STANDARD,2
90041,LOS ANGELES,CA,STANDARD,2
90042,LOS ANGELES,CA,STANDARD,2
90043,LOS ANGELES,CA,STANDARD,2
90044,LOS ANGELES,CA,STANDARD,2
90045,LOS ANGELES,CA,STANDARD,2
90046,LOS ANGELES,CA,STANDARD,2
90047,LOS ANGELES,CA,STANDARD,2
90048,LOS ANGELES,CA,STANDARD,2
90049,LOS ANGELES,CA,STANDARD,2
90050,LOS ANGELES,CA,STANDARD,2
90051,LOS ANGELES,CA,STANDARD,2
90052,LOS ANGELES,CA,STANDARD,2
90053,LOS ANGELES,CA,STANDARD,2
90054,LOS ANGELES,CA,STANDARD,2
90055,LOS ANGELES,CA,STANDARD,2
90056,LOS ANGELES,CA,STANDARD,2
90057,LOS ANGELES,CA,STANDARD,2
90058,LOS ANGELES,CA,STANDARD,2
90060,LOS ANGELES,CA,STANDARD,2
90061,LOS ANGELES,CA,STANDARD,2
90062,LOS ANGELES,CA,STANDARD,2
90063,LOS ANGELES,CA,STANDARD,2
90064,LOS ANGELES,CA,STANDARD,2
90065,LOS ANGELES,CA,STANDARD,2
90066,LOS ANGELES,CA,STANDARD,2
90067,LOS ANGELES,CA,STANDARD,2
90068,LOS ANGELES,CA,STANDARD,2
90069,WEST HOLLYWOOD,CA,STANDARD,2
90070,LOS ANGELES,CA,STANDARD,2
90071,LOS ANGELES,CA,STANDARD,2
90072,LOS ANGELES,CA,STANDARD,2
90073,LOS ANGELES,CA,STANDARD,2
90074,LOS ANGELES,CA,UNIQUE,2
90075,LOS ANGELES,CA,STANDARD,2
90076,LOS ANGELES,CA,STANDARD,2
90077,LOS ANGELES,CA,STANDARD,2
90078,LOS ANGELES,CA,STANDARD,2
90079,LOS ANGELES,CA,STANDARD,2
90080,LOS ANGELES,CA,STANDARD,2
90081,LOS ANGELES,CA,STANDARD,2
90082,LOS ANGELES,CA,STANDARD,2
90083,LOS ANGELES,CA,STANDARD,2
90084,LOS ANGELES,CA,UNIQUE,2
90086,LOS ANGELES,CA,STANDARD,2
90087,LOS ANGELES,CA,STANDARD,2
90088,LOS ANGELES,CA,UNIQUE,2
90089,LOS ANGELES,CA,UNIQUE,2
90091,LOS ANGELES,CA,STANDARD,2
90093,LOS ANGELES,CA,STANDARD,2
90094,LOS ANGELES,CA,STANDARD,2
90095,LOS ANGELES,CA,UNIQUE,2
90096,LOS ANGELES,CA,UNIQUE,2
90097,LOS ANGELES,CA,STANDARD,2
90099,LOS ANGELES,CA,STANDARD,2
90101,LOS ANGELES,CA,STANDARD,2
90102,LOS ANGELES,CA,UNIQUE,2
90103,LOS ANGELES,CA,UNIQUE,2
90174,LOS ANGELES,CA,UNIQUE,2
90185,LOS ANGELES,CA,UNIQUE,2
90201,BELL,CA,STANDARD,2
90202,BELL GARDENS,CA,STANDARD,2
90209,BEVERLY HILLS,CA,STANDARD,2
90210,BEVERLY HILLS,CA,STANDARD,2
90211,BEVERLY HILLS,CA,STANDARD,2
90212,BEVERLY HILLS,CA,STANDARD,2
90213,BEVERLY HILLS,CA,STANDARD,2
90220,COMPTON,CA,STANDARD,2
90221,COMPTON,CA,STANDARD,2
90222,COMPTON,CA,STANDARD,2
90223,COMPTON,CA,STANDARD,2
90224,COMPTON,CA,STANDARD,2
90230,CULVER CITY,CA,STANDARD,2
90231,CULVER CITY,CA,STANDARD,2
90232,CULVER CITY,CA,STANDARD,2
90233,CULVER CITY,CA,STANDARD,2
90245,EL SEGUNDO,CA,STANDARD,2
90247,GARDENA,CA,STANDARD,2
90248,GARDENA,CA,STANDARD,2
90249,GARDENA,CA,STANDARD,2
90250,HAWTHORNE,CA,STANDARD,2
90251,HAWTHORNE,CA,STANDARD,2
90254,HERMOSA BEACH,CA,STANDARD,2
90255,HUNTINGTON PARK,CA,STANDARD,2
90260,LAWNDALE,CA,STANDARD,2
90261,LAWNDALE,CA,STANDARD,2
90262,LYNWOOD,CA,STANDARD,2
90263,MALIBU,CA,STANDARD,2
90264,MALIBU,CA,STANDARD,2
90265,MALIBU,CA,STANDARD,2
90266,MANHATTAN BEACH,CA,STANDARD,2
90267,MANHATTAN BEACH,CA,STANDARD,2
90270,MAYWOOD,CA,STANDARD,2
90272,PACIFIC PALISADES,CA,STANDARD,2
90274,PALOS VERDES PENINSULA,CA,STANDARD,2
90275,RANCHO PALOS VERDES,CA,STANDARD,2
90277,REDONDO BEACH,CA,STANDARD,2
90278,REDONDO BEACH,CA,STANDARD,2
90280,SOUTH GATE,CA,STANDARD,2
90290,TOPANGA,CA,STANDARD,2
90291,VENICE,CA,STANDARD,2
90292,MARINA DEL REY,CA,STANDARD,2
90293,PLAYA DEL REY,CA,STANDARD,2
90294,VENICE,CA,STANDARD,2
90295,MARINA DEL REY,CA,STANDARD,2
90296,PLAYA DEL REY,CA,STANDARD,2
90301,INGLEWOOD,CA,STANDARD,2
90302,INGLEWOOD,CA,STANDARD,2
90303,INGLEWOOD,CA,STANDARD,2
90304,INGLEWOOD,CA,STANDARD,2
90305,INGLEWOOD,CA,STANDARD,2
90306,INGLEWOOD,CA,STANDARD,2
90307,INGLEWOOD,CA,STANDARD,2
90308,INGLEWOOD,CA,STANDARD,2
90309,INGLEWOOD,CA,STANDARD,2
90310,INGLEWOOD,CA,STANDARD,2
90311,INGLEWOOD,CA,STANDARD,2
90312,INGLEWOOD,CA,STANDARD,2
90313,INGLEWOOD,CA,UNIQUE,2
90397,INGLEWOOD,CA,UNIQUE,2
90398,INGLEWOOD,CA,UNIQUE,2
90401,SANTA MONICA,CA,STANDARD,2
90402,SANTA MONICA,CA,STANDARD,2
90403,SANTA MONICA,CA,STANDARD,2
90404,SANTA MONICA,CA,STANDARD,2
90405,SANTA MONICA,CA,STANDARD,2
90406,SANTA MONICA,CA,STANDARD,2
90407,SANTA MONICA,CA,STANDARD,2
90408,SANTA MONICA,CA,STANDARD,2
90409,SANTA MONICA,CA,STANDARD,2
90410,SANTA MONICA,CA,STANDARD,2
90411,SANTA MONICA,CA,STANDARD,2
91020,MONTROSE,CA,STANDARD,2
91021,MONTROSE,CA,STANDARD,2
91023,MOUNT WILSON,CA,STANDARD,2
91040,SUNLAND,CA,STANDARD,2
91041,SUNLAND,CA,STANDARD,2
91042,TUJUNGA,CA,STANDARD,2
91043,TUJUNGA,CA,STANDARD,2
91046,VERDUGO CITY,CA,PO BOX ONLY,2
91050,PASADENA,CA,UNIQUE,2
91051,PASADENA,CA,UNIQUE,2
